Name RA Dec
LATISS_POLE_001 00:00:00 -89:53:48.25887765
LATISS_POLE_002 02:10:54.54545455 -89:53:48.25887765
LATISS_POLE_003 04:21:49.09090909 -89:53:48.25887765
LATISS_POLE_004 06:32:43.63636364 -89:53:48.25887765
LATISS_POLE_005 08:43:38.18181818 -89:53:48.25887765
LATISS_POLE_006 10:54:32.72727273 -89:53:48.25887765
LATISS_POLE_007 13:05:27.27272727 -89:53:48.25887765
LATISS_POLE_008 15:16:21.81818182 -89:53:48.25887765
LATISS_POLE_009 17:27:16.36363636 -89:53:48.25887765
LATISS_POLE_010 19:38:10.90909091 -89:53:48.25887765
LATISS_POLE_011 21:49:05.45454545 -89:53:48.25887765
LATISS_POLE_012 00:00:00 -90:00:00.0
