ddf_name,season_length,season,u,g,r,i,z,y,n_sequences,flush_length,even_odd_None,g_depth_limit

# COSMOS Shallow season
COSMOS, 225, 0,     6, 0, 0, 0, 0, 0,           20, 2, none, 23.5
COSMOS, 225, 0,     0, 0, 0, 0, 0, 4,           30, 2, none, 23.5
COSMOS, 225, 0,     0, 6, 0, 6, 0, 0,           40, 1.0, even, 22.8
COSMOS, 225, 0,     0, 0, 6, 0, 6, 0,           40, 1.0, odd, 22.8

# XMM_LSS deep season
XMM_LSS, 225, 0,     8, 0, 0, 0, 0, 0,           20, 2, none, 23.5
XMM_LSS, 225, 0,     0, 0, 0, 0, 0, 20,          30, 2, none, 23.5
XMM_LSS, 225, 0,     0, 6, 0, 6, 0, 0,           40, 0.5, even, 22.8
XMM_LSS, 225, 0,     0, 0, 6, 0, 6, 0,           40, 0.5, odd, 22.8
XMM_LSS, 180, 0,     0, 4, 18, 55, 52, 0,        20, 2, none, 23.5

# ELAISS1 shallow seasons
ELAISS1, 225, 0,     6, 0, 0, 0, 0, 0,          20, 2, none, 23.5
ELAISS1, 225, 0,     0, 0, 0, 0, 0, 4,          30, 2, none, 23.5  
ELAISS1, 225, 0,     0, 4, 0, 4, 0, 0,           40, 1.0, even, 22.8
ELAISS1, 225, 0,     0, 0, 5, 0, 5, 0,           40, 1.0, odd, 22.8

# ECDFS shallow seasons
ECDFS, 225, 0,     6, 0, 0, 0, 0, 0,          20, 2, none, 23.5
ECDFS, 225, 0,     0, 0, 0, 0, 0, 4,          30, 2, none, 23.5  
ECDFS, 225, 0,     0, 6, 0, 6, 0, 0,           40, 1, even, 22.8
ECDFS, 225, 0,     0, 0, 6, 0, 6, 0,           40, 1, odd, 22.8

# EDFS_a shallow seasons
EDFS_a, 225, 0,     6, 0, 0, 0, 0, 0,          20, 2, none, 23.5
EDFS_a, 225, 0,     0, 0, 0, 0, 0, 4,          30, 2, none, 23.5
EDFS_a, 225, 0,     0, 6, 0, 6, 0, 0,           40, 1.0, even, 22.8
EDFS_a, 225, 0,     0, 0, 6, 0, 6, 0,           40, 1.0, odd, 22.8
